date,atmo_local_nagoya,atmo_sea_nagoya,temp_avg_nagoya,temp_high_nagoya,temp_low_nagoya,atmo_local_fukuoka,atmo_sea_fukuoka,temp_avg_fukuoka,temp_high_fukuoka,temp_low_fukuoka
2025-01-01,1012.0,1018.9,6.2,10.5,2.3,1020.3,1022.1,7.0,12.8,2.7
2025-01-02,1011.8,1018.7,7.9,13.0,3.5,1020.5,1022.4,7.6,12.9,3.6
2025-01-03,1010.4,1017.4,6.4,11.0,3.6,1021.9,1023.8,6.1,8.9,3.2
2025-01-04,1014.5,1021.5,5.2,9.6,2.4,1024.1,1026.0,4.7,6.7,2.8
2025-01-05,1017.6,1024.6,5.4,10.1,1.1,1021.4,1023.2,6.4,9.9,2.8
2025-01-06,1007.1,1014.1,5.3,7.8,2.3,1013.9,1015.7,8.5,13.0,6.8
2025-01-07,1001.6,1008.5,6.9,10.5,3.7,1016.6,1018.4,6.5,8.2,5.4
2025-01-08,1008.3,1015.2,4.2,8.8,1.5,1018.4,1020.2,7.4,10.0,5.1
2025-01-09,1007.3,1014.3,2.8,8.6,0.0,1019.7,1021.6,3.8,6.9,0.1
2025-01-10,1012.4,1019.5,1.4,4.6,-1.4,1026.6,1028.5,1.9,5.1,-2.1
2025-01-11,1017.0,1024.1,3.6,9.1,-0.2,1025.8,1027.7,3.5,6.5,1.1
2025-01-12,1012.8,1019.9,4.0,7.6,1.5,1021.1,1023.0,4.9,7.5,2.7
2025-01-13,1014.0,1021.0,4.9,10.5,1.2,1024.2,1026.1,6.3,9.8,3.8
2025-01-14,1016.0,1023.0,5.3,11.3,-0.3,1023.5,1025.3,8.2,12.9,4.7
2025-01-15,1010.8,1017.7,5.3,10.4,1.9,1022.8,1024.7,6.0,9.2,3.0
2025-01-16,1013.2,1020.2,3.6,7.5,-0.2,1022.8,1024.7,4.9,7.5,2.2
2025-01-17,1014.2,1021.2,4.3,8.9,1.5,1022.9,1024.8,7.2,10.0,5.2
2025-01-18,1016.9,1023.9,4.4,10.2,-0.6,1021.9,1023.8,8.2,12.2,5.9
2025-01-19,1012.6,1019.5,7.1,13.6,1.5,1016.1,1018.0,9.2,14.2,4.1
2025-01-20,1006.8,1013.6,8.6,14.9,5.6,1014.0,1015.9,8.9,12.8,5.4
2025-01-21,1009.5,1016.4,8.2,15.1,2.6,1018.5,1020.3,8.8,13.1,5.0
2025-01-22,1015.0,1021.9,7.4,13.5,2.0,1022.2,1024.1,8.8,13.7,4.9
2025-01-23,1016.5,1023.5,7.1,13.5,1.8,1021.4,1023.3,9.6,15.3,5.6
2025-01-24,1015.5,1022.4,8.0,14.7,3.1,1021.0,1022.8,9.7,14.2,5.4
2025-01-25,1014.5,1021.5,6.9,11.8,3.8,1022.2,1024.0,8.9,13.0,6.5
2025-01-26,1012.0,1018.9,6.9,13.2,2.4,1020.4,1022.3,8.7,12.6,5.1
2025-01-27,1007.5,1014.5,6.2,9.8,2.6,1013.7,1015.5,7.5,9.1,5.2
2025-01-28,1005.4,1012.3,6.9,11.2,4.4,1016.5,1018.4,4.5,5.8,2.5
2025-01-29,1008.4,1015.4,5.6,10.0,2.5,1021.4,1023.3,5.2,7.3,3.9
2025-01-30,1013.7,1020.7,3.3,5.9,1.6,1025.9,1027.8,5.5,9.2,2.7
2025-01-31,1017.2,1024.2,4.2,8.4,-0.2,1025.0,1026.9,6.6,11.6,1.7
2025-02-01,1014.9,1021.9,6.6,11.4,2.1,1015.8,1017.6,7.5,10.0,5.2
2025-02-02,1007.2,1014.1,7.4,10.5,4.8,1013.1,1014.9,9.0,12.1,6.4
2025-02-03,1002.0,1008.9,7.8,11.8,3.8,1013.8,1015.6,7.1,9.8,3.4
2025-02-04,998.5,1005.4,3.4,7.7,0.7,1014.2,1016.1,2.4,4.7,0.3
2025-02-05,1001.3,1008.3,1.7,7.3,-1.6,1014.9,1016.8,3.0,6.0,0.2
2025-02-06,1007.2,1014.3,1.9,6.2,-1.4,1019.3,1021.2,2.9,5.0,1.0
2025-02-07,1004.8,1011.8,1.9,6.3,-0.4,1017.0,1018.9,2.2,6.1,-0.1
2025-02-08,1006.6,1013.7,0.6,5.3,-1.8,1022.4,1024.3,1.8,4.7,-0.1
2025-02-09,1012.5,1019.6,2.4,8.6,-1.7,1023.2,1025.1,2.9,7.4,-0.8
2025-02-10,1013.3,1020.3,3.5,8.3,-1.1,1023.9,1025.8,4.6,5.8,2.9
2025-02-11,1017.5,1024.6,4.1,8.8,1.0,1026.2,1028.1,5.0,10.2,1.0
2025-02-12,1012.2,1019.3,2.2,6.0,-1.5,1014.7,1016.6,9.6,15.0,4.4
2025-02-13,1006.0,1013.0,5.1,8.8,2.4,1019.9,1021.8,6.0,9.3,2.7
2025-02-14,1011.2,1018.2,6.0,11.9,0.5,1020.4,1022.3,5.8,12.1,1.0
2025-02-15,1012.1,1019.0,8.1,14.6,1.1,1017.2,1019.0,6.8,10.7,2.3
2025-02-16,1006.3,1013.2,9.5,14.4,6.1,1014.3,1016.1,9.2,13.8,6.3
2025-02-17,1004.2,1011.1,6.2,10.6,1.8,1018.4,1020.2,7.8,10.3,4.5
2025-02-18,1008.3,1015.4,2.6,7.0,0.0,1020.9,1022.8,5.4,7.7,3.4
2025-02-19,1011.5,1018.6,1.8,6.9,-0.2,1023.7,1025.6,5.5,8.7,3.6
2025-02-20,1015.8,1022.9,2.3,8.3,-2.5,1025.3,1027.2,4.8,8.8,2.1
2025-02-21,1016.0,1023.1,3.0,8.4,-1.2,1025.7,1027.6,4.8,8.8,2.0
2025-02-22,1016.2,1023.3,2.5,7.2,0.2,1028.2,1030.1,3.8,7.2,0.7
2025-02-23,1016.7,1023.8,2.6,8.7,-2.3,1026.3,1028.2,3.3,7.1,0.6
2025-02-24,1014.4,1021.4,3.6,9.6,-0.2,1028.0,1029.9,3.5,6.7,1.1
2025-02-25,1018.7,1025.7,5.6,12.5,-0.8,1026.4,1028.2,6.4,12.4,0.5
2025-02-26,1014.2,1021.1,7.6,13.7,3.3,1023.0,1024.9,9.4,13.2,6.7
2025-02-27,1015.6,1022.5,8.5,15.3,2.3,1021.7,1023.5,9.0,13.3,4.8
2025-02-28,1014.7,1021.6,9.8,14.7,5.3,1018.9,1020.7,10.1,14.1,7.9
2025-03-01,1013.8,1020.6,11.9,20.0,4.3,1017.5,1019.3,14.5,22.3,7.0
2025-03-02,1009.4,1016.2,13.9,18.3,10.1,1013.2,1015.0,17.0,21.0,12.3
2025-03-03,1007.0,1013.9,9.0,13.6,5.3,1013.8,1015.6,9.7,12.4,7.2
2025-03-04,1014.1,1021.1,5.6,6.7,4.7,1013.1,1014.9,7.7,8.8,6.5
2025-03-05,1007.3,1014.1,8.1,10.8,5.6,1016.5,1018.3,9.4,11.7,8.6
2025-03-06,1007.9,1014.8,7.9,12.7,4.6,1021.2,1023.1,8.2,11.1,7.0
2025-03-07,1015.7,1022.7,6.0,11.1,3.0,1025.0,1026.9,8.2,11.9,6.1
2025-03-08,1018.8,1025.9,5.9,11.0,2.6,1024.0,1025.9,8.6,12.8,6.0
2025-03-09,1019.3,1026.3,8.1,15.2,2.5,1027.0,1028.9,9.1,14.9,3.7
2025-03-10,1021.9,1028.9,9.6,16.2,2.8,1024.8,1026.6,11.1,16.8,5.8
2025-03-11,1016.8,1023.7,9.7,10.6,8.7,1018.1,1019.9,13.2,17.5,10.3
2025-03-12,1010.3,1017.1,11.9,16.3,7.9,1014.9,1016.7,13.1,16.2,9.7
2025-03-13,1009.8,1016.6,12.7,17.9,9.0,1018.1,1019.9,12.0,14.8,8.0
2025-03-14,1016.1,1023.0,11.5,19.7,5.3,1021.2,1023.0,12.9,19.5,7.5
2025-03-15,1016.1,1023.0,7.4,9.6,5.7,1016.1,1017.9,9.4,14.1,7.4
2025-03-16,998.2,1005.1,8.3,12.2,6.3,1009.1,1010.9,8.3,11.5,4.9
2025-03-17,1000.0,1006.9,7.6,11.9,4.4,1014.7,1016.6,6.1,8.4,4.1
2025-03-18,1006.3,1013.2,7.1,13.8,1.5,1014.3,1016.2,5.3,8.3,3.2
2025-03-19,1007.5,1014.4,6.3,12.1,3.3,1021.5,1023.4,5.0,8.0,1.8
2025-03-20,1013.2,1020.2,6.9,13.2,1.2,1020.6,1022.4,8.8,14.5,2.3
2025-03-21,1008.8,1015.6,9.6,16.5,2.0,1015.9,1017.7,14.4,22.0,7.9
2025-03-22,1003.9,1010.6,14.2,22.3,6.2,1012.7,1014.4,17.6,24.4,10.1
2025-03-23,1003.9,1010.6,15.4,23.4,8.2,1012.0,1013.8,18.7,25.3,13.0
2025-03-24,1003.1,1009.8,14.3,22.4,9.4,1007.5,1009.3,19.4,24.3,16.2
2025-03-25,999.1,1005.8,16.7,23.9,10.0,1004.2,1005.9,21.3,27.4,16.2
2025-03-26,1001.5,1008.1,17.2,22.3,12.9,1006.5,1008.2,20.2,23.0,15.9
2025-03-27,1001.9,1008.6,16.4,21.6,9.7,1001.0,1002.7,21.3,23.9,16.8
2025-03-28,997.1,1003.7,16.0,19.5,10.7,1009.2,1011.0,12.7,17.5,10.6
2025-03-29,1008.5,1015.4,10.8,16.8,8.3,1018.6,1020.4,11.1,15.2,9.1
2025-03-30,1014.9,1021.8,8.6,13.7,5.3,1025.8,1027.7,7.7,10.0,5.7
2025-03-31,1018.5,1025.5,7.7,11.0,4.4,1024.6,1026.5,8.0,12.4,3.5
2025-04-01,1015.5,1022.4,10.4,13.2,7.3,1019.1,1020.9,10.4,15.0,6.1
2025-04-02,1007.3,1014.1,13.8,20.1,9.4,1015.9,1017.7,12.0,16.6,8.5
2025-04-03,1006.5,1013.3,12.6,18.4,8.9,1017.5,1019.3,11.8,16.1,9.1
2025-04-04,1009.4,1016.2,11.8,18.2,7.8,1018.7,1020.5,11.4,16.2,6.6
2025-04-05,1012.3,1019.2,12.5,18.6,6.1,1014.1,1015.9,14.4,19.7,9.4
2025-04-06,1008.8,1015.6,13.5,18.5,10.5,1014.5,1016.3,14.5,18.8,10.9
2025-04-07,1009.3,1016.0,13.9,19.5,8.7,1017.9,1019.7,14.8,21.4,8.7
2025-04-08,1007.5,1014.2,14.5,21.7,7.1,1014.1,1015.8,18.4,25.9,12.5
2025-04-09,1005.5,1012.2,15.7,22.3,10.2,1010.9,1012.7,16.8,21.1,12.6
2025-04-10,1003.7,1010.4,14.9,19.1,10.2,1005.5,1007.2,19.7,24.0,15.3
2025-04-11,1001.3,1007.9,16.5,23.9,12.3,1009.1,1010.9,15.9,20.4,13.2
2025-04-12,1006.3,1013.0,16.5,23.5,10.5,1008.3,1010.1,15.6,22.0,10.4
2025-04-13,998.5,1005.2,14.3,16.9,8.2,1003.2,1005.0,13.4,16.7,10.4
2025-04-14,996.1,1002.8,13.0,19.5,7.6,1000.1,1001.9,12.1,16.3,9.3
2025-04-15,992.7,999.4,11.6,17.9,7.0,1004.9,1006.7,11.6,15.0,8.8
2025-04-16,1004.2,1010.9,12.6,19.2,5.9,1010.7,1012.5,17.2,23.9,9.4
2025-04-17,1008.3,1015.0,17.2,26.3,9.0,1011.4,1013.1,21.0,25.0,15.5
2025-04-18,1008.0,1014.6,19.0,25.6,14.3,1011.5,1013.3,22.9,28.1,19.8
2025-04-19,1007.0,1013.6,22.0,29.5,15.7,1011.1,1012.8,21.7,27.6,18.1
2025-04-20,1006.4,1012.9,20.8,24.4,18.1,1011.0,1012.7,19.6,22.9,16.6
2025-04-21,1008.6,1015.2,20.0,27.0,14.4,1014.0,1015.8,18.2,23.0,16.5
2025-04-22,1008.3,1015.0,19.4,24.0,16.7,1006.0,1007.7,19.5,21.3,16.9
2025-04-23,996.3,1002.8,19.1,23.5,17.0,1004.5,1006.2,15.5,20.3,14.0
2025-04-24,997.8,1004.3,19.0,24.7,14.5,1007.5,1009.3,16.6,21.4,13.1
2025-04-25,1003.1,1009.8,16.2,21.6,11.7,1012.5,1014.3,16.4,19.3,11.7
2025-04-26,1009.2,1015.9,15.4,22.3,9.3,1017.7,1019.5,15.4,20.7,9.5
2025-04-27,1010.3,1017.0,17.5,25.1,9.2,1015.4,1017.2,18.8,26.7,12.3
2025-04-28,1002.2,1008.8,16.4,22.7,12.4,1007.4,1009.2,17.1,20.6,14.4
2025-04-29,1002.3,1009.0,14.4,19.0,11.5,1012.2,1014.0,15.7,19.0,12.6
2025-04-30,1010.5,1017.2,17.3,25.8,9.0,1015.3,1017.0,17.2,23.2,10.1
2025-05-01,1012.7,1019.3,18.6,23.9,12.0,1010.7,1012.5,19.8,24.8,15.1
2025-05-02,1001.1,1007.7,15.8,18.4,12.4,1008.5,1010.3,17.0,20.9,14.2
2025-05-03,1001.3,1007.9,17.5,24.3,9.5,1007.2,1008.9,19.0,26.3,12.5
2025-05-04,1001.7,1008.3,18.0,23.7,13.4,1011.7,1013.5,17.1,20.6,14.1
2025-05-05,1006.7,1013.4,17.7,24.6,9.9,1010.0,1011.8,17.7,25.1,11.7
2025-05-06,999.0,1005.6,15.4,18.1,13.7,1003.3,1005.1,16.1,19.2,14.4
2025-05-07,1001.9,1008.5,16.6,22.1,13.0,1011.7,1013.5,17.0,21.0,14.1
2025-05-08,1013.3,1020.0,18.0,24.9,11.4,1015.8,1017.6,18.9,25.1,11.8
2025-05-09,1013.0,1019.6,18.0,22.1,15.4,1007.3,1009.1,19.1,20.5,17.5
2025-05-10,997.1,1003.7,18.5,21.6,16.3,1004.3,1006.1,19.6,23.7,16.6
2025-05-11,999.7,1006.3,18.9,23.1,15.1,1007.2,1009.0,17.1,19.5,15.5
2025-05-12,1003.1,1009.7,18.1,23.1,14.0,1010.8,1012.6,18.8,23.5,15.1
2025-05-13,1010.7,1017.3,20.3,27.5,13.3,1015.9,1017.6,19.6,25.4,14.3
2025-05-14,1013.8,1020.4,20.9,26.6,16.0,1017.0,1018.8,21.2,27.5,16.2
2025-05-15,1014.1,1020.7,21.4,26.2,17.1,1016.5,1018.3,22.8,27.9,18.7
2025-05-16,1013.7,1020.3,20.8,24.4,17.6,1012.7,1014.4,23.1,27.4,20.6
2025-05-17,1003.8,1010.3,21.2,25.5,17.7,1006.2,1007.9,22.6,27.3,19.9
2025-05-18,1001.0,1007.4,24.6,29.6,21.5,1008.8,1010.6,20.0,23.0,18.3
2025-05-19,1004.4,1010.9,21.9,26.0,18.9,1009.0,1010.8,22.8,28.0,15.7
2025-05-20,1006.1,1012.6,23.9,31.1,17.1,1009.7,1011.4,26.6,32.0,21.6
2025-05-21,1003.8,1010.2,25.0,31.2,21.1,1005.2,1006.9,23.6,27.8,21.2
2025-05-22,996.2,1002.6,24.3,30.5,20.5,1005.4,1007.2,18.4,21.4,17.4
2025-05-23,1003.5,1010.1,21.3,25.1,18.8,1008.4,1010.2,19.7,23.2,17.4
2025-05-24,1004.8,1011.4,18.9,21.1,16.6,1002.9,1004.7,18.2,19.6,15.4
2025-05-25,999.6,1006.2,19.0,23.4,16.1,1012.2,1014.0,16.4,19.5,14.1
2025-05-26,1010.5,1017.2,18.1,22.3,15.4,1016.7,1018.5,17.4,21.9,12.6
2025-05-27,1014.1,1020.8,17.4,22.5,14.8,1017.2,1019.0,19.2,24.4,13.6
2025-05-28,1011.8,1018.4,20.5,27.7,14.5,1016.0,1017.8,20.2,25.3,14.8
2025-05-29,1009.5,1016.0,20.9,24.1,18.2,1012.3,1014.1,20.8,24.0,18.5
2025-05-30,1001.2,1007.8,19.7,26.5,15.7,1009.9,1011.7,19.4,22.9,18.2
2025-05-31,994.1,1000.6,19.7,22.9,17.2,1009.4,1011.2,19.9,23.7,17.5
2025-06-01,997.9,1004.4,19.9,25.0,16.7,1008.7,1010.4,21.0,26.1,15.7
2025-06-02,1000.2,1006.7,21.1,27.4,15.7,1002.6,1004.3,20.2,23.5,18.6
2025-06-03,993.6,1000.2,18.3,20.9,17.2,997.4,999.1,19.8,22.7,18.3
2025-06-04,995.8,1002.2,22.2,27.9,17.2,1004.9,1006.6,23.4,29.2,17.6
2025-06-05,1003.3,1009.8,22.8,29.5,15.5,1010.2,1011.9,22.6,27.1,17.7
2025-06-06,1006.9,1013.4,23.0,29.1,17.4,1010.2,1011.9,23.2,28.6,18.2
2025-06-07,1004.3,1010.7,23.8,28.5,20.4,1008.9,1010.6,23.7,26.9,21.3
2025-06-08,1004.1,1010.6,23.3,28.2,20.7,1007.6,1009.3,23.1,26.3,21.4
2025-06-09,1005.7,1012.2,21.1,25.4,19.0,1005.9,1007.6,22.1,23.4,20.9
2025-06-10,1003.3,1009.8,20.4,22.7,18.7,1005.8,1007.5,22.1,24.7,20.7
2025-06-11,1003.7,1010.2,22.3,24.2,20.5,1010.1,1011.8,21.8,24.0,19.5
2025-06-12,1008.4,1014.9,22.8,26.9,18.4,1014.1,1015.9,21.0,23.4,19.8
2025-06-13,1010.7,1017.2,23.5,28.8,18.3,1012.5,1014.3,24.3,28.4,20.8
2025-06-14,1005.1,1011.6,21.9,23.5,20.7,1002.8,1004.5,26.6,28.8,25.0
2025-06-15,995.4,1001.7,24.8,28.4,22.5,1001.5,1003.2,26.9,31.0,23.4
2025-06-16,998.3,1004.7,27.0,33.5,21.3,1002.1,1003.8,26.9,31.4,22.6
2025-06-17,1001.5,1007.8,30.3,35.4,26.2,1007.0,1008.7,27.7,33.4,21.8
2025-06-18,1005.0,1011.4,30.6,36.8,25.2,1010.9,1012.6,27.7,32.0,23.8
2025-06-19,1007.3,1013.6,29.7,36.3,25.5,1013.2,1014.9,27.0,32.6,23.1
2025-06-20,1008.1,1014.5,27.7,32.2,25.2,1010.5,1012.2,29.7,35.1,25.2
2025-06-21,1006.2,1012.6,27.0,31.9,24.1,1007.2,1008.9,29.6,31.8,28.2
2025-06-22,1003.2,1009.5,27.0,30.3,24.2,1005.4,1007.1,27.4,30.3,22.6
2025-06-23,1003.5,1009.9,25.6,27.9,24.0,1006.2,1007.9,24.1,27.7,22.2
2025-06-24,1006.6,1013.1,25.3,26.9,24.1,1007.4,1009.1,25.3,27.7,23.9
2025-06-25,1005.9,1012.3,27.6,31.7,24.2,1008.2,1009.9,24.9,28.2,22.7
2025-06-26,1003.2,1009.6,25.6,30.1,23.3,1008.9,1010.6,25.4,29.2,22.2
2025-06-27,1000.9,1007.3,26.5,31.6,22.4,1008.0,1009.7,26.8,31.7,21.9
2025-06-28,1000.9,1007.2,27.7,34.0,22.5,1007.5,1009.2,28.1,32.3,25.4
2025-06-29,1003.5,1009.8,28.4,33.5,24.3,1008.1,1009.8,28.3,32.1,25.6
2025-06-30,1005.8,1012.1,29.2,35.8,24.5,1010.7,1012.4,29.2,32.5,26.1
2025-07-01,1007.1,1013.4,30.6,36.8,26.2,1012.6,1014.3,29.9,33.5,27.3
2025-07-02,1007.1,1013.5,29.4,34.0,26.7,1012.2,1013.9,29.6,32.9,27.0
2025-07-03,1005.7,1012.1,29.3,34.4,25.2,1010.3,1012.0,30.0,34.7,27.3
2025-07-04,1002.5,1008.8,29.7,35.0,26.5,1007.9,1009.6,30.4,33.9,27.7
2025-07-05,999.0,1005.3,30.8,36.4,26.9,1006.0,1007.7,30.5,34.3,27.5
2025-07-06,997.3,1003.6,31.5,36.5,27.7,1004.9,1006.6,30.3,34.0,27.1
2025-07-07,998.6,1004.9,30.8,37.8,25.4,1004.6,1006.3,29.8,33.5,27.1
2025-07-08,1002.0,1008.3,29.3,34.8,24.8,1005.2,1006.9,29.6,33.2,27.5
2025-07-09,1004.5,1010.9,30.0,34.7,26.6,1006.4,1008.1,29.3,35.0,25.0
2025-07-10,1004.6,1010.9,30.1,35.0,26.3,1006.6,1008.3,29.6,33.0,25.7
2025-07-11,1005.1,1011.4,29.3,33.9,26.5,1007.3,1009.0,30.0,34.9,27.1
2025-07-12,1003.8,1010.2,28.2,32.9,25.9,1005.9,1007.6,28.4,33.3,26.7
2025-07-13,999.7,1006.0,28.5,33.0,25.6,999.5,1001.2,29.4,34.9,25.7
2025-07-14,992.3,998.6,27.7,33.4,25.0,992.5,994.2,26.4,28.4,24.1
2025-07-15,995.8,1002.1,27.8,32.1,25.0,997.3,999.0,28.0,31.9,24.6
2025-07-16,1005.4,1011.8,27.1,30.2,25.0,1004.6,1006.3,29.3,35.0,25.6
2025-07-17,1009.9,1016.4,25.4,28.6,23.4,1006.5,1008.2,30.4,35.7,26.3
2025-07-18,1010.7,1017.2,26.2,30.0,23.9,1008.5,1010.2,26.6,28.1,25.5
2025-07-19,1010.8,1017.2,27.6,33.4,22.3,1010.6,1012.3,28.8,34.0,25.8
2025-07-20,1011.0,1017.4,28.6,33.2,24.6,1011.9,1013.6,30.5,35.3,25.6
2025-07-21,1010.7,1017.1,29.8,34.9,25.8,1013.8,1015.5,30.2,34.4,27.7
2025-07-22,1009.3,1015.7,29.9,35.6,26.5,1012.8,1014.5,30.1,33.4,27.3
2025-07-23,1007.6,1014.0,29.8,35.3,26.1,1010.7,1012.4,30.8,33.9,27.0
